KO_EC_NUMBER	Silhouette_Index
K00003-[EC:1.1.1.3]	-0.03
K01724-[EC:4.2.1.96]	0.05
K12733-[EC:5.2.1.8]	-0.02
K04516-[EC:5.4.99.5]	0.28
K04105-[EC:6.2.1.25]	0.02
K01455-[EC:3.5.1.49]	0.08
K01568-[EC:4.1.1.1]	-0.04
K03575-[EC:3.2.2.31]	0.03
K00965-[EC:2.7.7.12]	0.17
K14653-[EC:3.5.1.102]	-0.01
K02112-[EC:7.1.2.2]	0.05
K04342-[EC:3.1.3.39]	0.66
K22897-[EC:1.18.6.2]	0.14
K02224-[EC:6.3.5.11]	-0.02
K20107-[EC:2.7.1.208]	0.09
K00477-[EC:1.14.11.18]	0.25
K00436-[EC:1.12.1.2]	0.04
K01012-[EC:2.8.1.6]	0.02
K03153-[EC:1.4.3.19]	-0.01
K00984-[EC:2.7.7.47]	0.01
K21199-[EC:1.14.15.27]	0.26
K22482-[EC:1.8.7.3]	0.12
K01818-[EC:5.3.1.3]	0.22
K02344-[EC:2.7.7.7]	0.34
K22844-[EC:2.4.1.356]	0.1
K08591-[EC:2.3.1.275]	0.07
K10621-[EC:1.13.11.14]	0.17
K04487-[EC:2.8.1.7]	0.18
K17828-[EC:1.3.1.14]	0.21
K19670-[EC:3.11.1.2]	-0.05
K13282-[EC:3.4.15.6]	0.12
K13590-[EC:2.7.7.65]	-0.1
K01844-[EC:5.4.3.3]	0.15
K01588-[EC:5.4.99.18]	0.01
K05366-[EC:2.4.1.129]	0.04
K01758-[EC:4.4.1.1]	0.27
K17609-[EC:1.8.1.8]	-0.04
K01813-[EC:5.3.1.14]	0.27
K14257-[EC:1.14.19.49]	0.08
K02193-[EC:7.6.2.5]	-0.0
K00228-[EC:1.3.3.3]	0.06
K15633-[EC:5.4.2.12]	0.09
K03366-[EC:1.1.1.76]	0.04
K21616-[EC:1.1.1.407]	-0.12
K10210-[EC:1.14.99.44]	0.47
K01241-[EC:3.2.2.4]	0.04
K17229-[EC:1.8.2.3]	0.01
K00068-[EC:1.1.1.140]	0.23
K00929-[EC:2.7.2.7]	0.06
K20902-[EC:2.7.1.210]	0.0
K10824-[EC:7.2.2.11]	0.06
K03183-[EC:2.1.1.163]	0.02
K22100-[EC:4.2.1.160]	0.74
K00887-[EC:2.7.1.66]	0.22
K22397-[EC:4.1.2.28]	0.03
K07639-[EC:2.7.13.3]	0.38
K03433-[EC:3.4.25.1]	0.27
K03601-[EC:3.1.11.6]	-0.03
K10819-[EC:2.7.13.3]	0.22
K22024-[EC:1.1.1.408]	0.12
K21301-[EC:1.3.98.4]	-0.33
K00114-[EC:1.1.2.8]	0.12
K18912-[EC:1.14.99.50]	0.19
K01757-[EC:4.3.3.2]	0.64
K13085-[EC:3.1.3.78]	0.27
K00989-[EC:2.7.7.56]	0.18
K01896-[EC:6.2.1.2]	-0.04
K15525-[EC:3.5.1.103]	0.12
K21723-[EC:1.14.13.179]	-0.18
K17223-[EC:2.8.5.2]	0.04
K00285-[EC:1.4.5.1]	-0.0
K18532-[EC:2.7.4.3]	0.01
K07711-[EC:2.7.13.3]	0.38
K23144-[EC:2.7.7.24]	0.04
K10916-[EC:2.7.13.3]	0.11
K13062-[EC:2.3.1.184]	0.01
K01626-[EC:2.5.1.54]	-0.02
K01880-[EC:6.1.1.14]	0.19
K11754-[EC:6.3.2.17]	0.1
K18125-[EC:1.1.1.359]	0.02
K16303-[EC:1.14.12.25]	0.02
K15532-[EC:3.2.1.172]	0.18
K22840-[EC:2.3.1.272]	0.33
K18540-[EC:3.5.1.100]	0.19
K18128-[EC:1.2.1.89]	0.35
K09882-[EC:6.6.1.2]	0.12
K01077-[EC:3.1.3.1]	0.02
K11392-[EC:2.1.1.178]	0.26
K21479-[EC:2.1.1.272]	0.07
K01961-[EC:6.3.4.14]	0.04
K14470-[EC:5.4.1.3]	0.06
K21567-[EC:1.18.1.2]	0.02
K16363-[EC:4.2.1.59]	0.2
K12111-[EC:3.2.1.23]	0.12
K06864-[EC:4.4.1.37]	-0.06
K11212-[EC:2.7.8.28]	0.08
K03405-[EC:6.6.1.1]	0.03
K13356-[EC:1.2.1.84]	0.57
K10441-[EC:3.6.3.17]	0.03
K05873-[EC:4.6.1.1]	0.23
K18068-[EC:1.14.12.7]	0.02
K15751-[EC:1.14.12.22]	0.04
K18866-[EC:3.4.17.14]	-0.03
K17829-[EC:1.3.1.86]	-0.06
K01071-[EC:3.1.2.21]	-0.03
K15646-[EC:6.2.1.46]	-0.32
K23269-[EC:6.3.5.3]	0.03
K00839-[EC:2.6.1.112]	0.12
K06046-[EC:6.2.1.19]	0.04
K01299-[EC:3.4.17.19]	-0.02
K18292-[EC:4.1.3.25]	0.03
K00116-[EC:1.1.5.4]	0.06
K18316-[EC:6.3.3.6]	0.15
K14605-[EC:5.5.1.19]	0.43
K15408-[EC:1.9.3.1]	-0.05
K00934-[EC:2.7.3.3]	0.42
K00371-[EC:1.7.5.1]	0.2
K16218-[EC:4.2.3.118]	0.05
K03750-[EC:2.10.1.1]	0.01
K03280-[EC:2.4.1.56]	0.5
K19190-[EC:1.1.1.328]	-0.04
K02489-[EC:2.7.13.3]	0.05
K12083-[EC:7.4.2.8]	-0.73
K17078-[EC:3.5.1.112]	0.67
K00299-[EC:1.5.1.38]	0.03
K08961-[EC:4.2.2.20]	0.01
K08690-[EC:1.3.1.56]	0.27
K22169-[EC:1.5.98.3]	0.44
K15780-[EC:6.3.4.19]	0.31
K09845-[EC:1.3.99.27]	0.04
K06379-[EC:2.7.11.1]	0.13
K01430-[EC:3.5.1.5]	0.04
K21367-[EC:2.4.1.308]	-0.14
K00208-[EC:1.3.1.10]	0.02
K03520-[EC:1.2.5.3]	-0.01
K05573-[EC:7.1.1.2]	-0.04
K16146-[EC:2.7.1.175]	0.06
K03389-[EC:1.8.98.5]	0.03
K00137-[EC:1.2.1.19]	0.19
K21304-[EC:2.4.1.153]	-0.03
K20762-[EC:3.5.5.8]	-0.26
K02335-[EC:2.7.7.7]	0.13
K20862-[EC:3.1.3.102]	0.28
K04040-[EC:2.5.1.62]	0.03
K22212-[EC:4.1.1.101]	0.11
K20761-[EC:3.5.5.8]	0.09
K11173-[EC:1.1.99.24]	0.0
K18198-[EC:4.2.2.24]	0.13
K15781-[EC:2.3.1.51]	0.3
K02782-[EC:2.7.1.198]	0.17
K00316-[EC:1.5.99.6]	0.15
K00221-[EC:4.99.1.2]	0.0
K18821-[EC:2.3.1.200]	-0.6
K21028-[EC:2.8.1.11]	0.04
K00333-[EC:7.1.1.2]	0.07
K02548-[EC:2.5.1.74]	0.05
